Country,Score,Rank,Continent
Afghanistan,0.245,100,Asia
Albania,0.314,88,Europe
Algeria,0.432,67,Middle East
Andorra,0.057,153,Europe
Angola,0.078,145,Africa
Antigua and Barbuda,0.179,116,North America
Argentina,0.482,62,South America
Armenia,0.196,110,Former USSR
Australia,0.824,7,Asia
Austria,0.639,30,Europe
Azerbaijan,0.559,48,Former USSR
Bahamas,0.137,128,North America
Bahrain,0.467,64,Middle East
Bangladesh,0.524,53,Asia
Barbados,0.273,94,North America
Belarus,0.592,39,Former USSR
Belgium,0.671,27,Europe
Belize,0.182,115,North America
Benin,0.069,148,Africa
Bhutan,0.199,109,Asia
Bolivia,0.122,133,South America
Bosnia and Herzegovina,0.116,135,Europe
Botswana,0.43,68,Africa
Brazil,0.593,38,South America
Brunei Darussalam,0.524,53,Asia
Bulgaria,0.579,44,Europe
Burkina Faso,0.208,107,Africa
Burundi,0.12,134,Africa
Cambodia,0.283,91,Asia
Cameroon,0.413,74,Africa
Canada,0.818,9,North America
Cape Verde,0.058,152,Africa
Central African Republic,0.007,163,Africa
Chad,0.072,147,Africa
Chile,0.367,80,South America
China,0.624,32,Asia
Colombia,0.569,46,South America
Comoros,0.04,160,Middle East
Congo,0.04,160,Africa
Costa Rica,0.336,85,North America
Cote d’Ivoire,0.416,73,Africa
Croatia,0.59,41,Europe
Cuba,0.058,152,North America
Cyprus,0.487,60,Europe
Czech Republic,0.609,35,Europe
Democratic Republic of the Congo,0.04,160,Africa
Demoratic People’s Republic of Korea,0.532,52,Asia
Denmark,0.617,34,Europe
Djibouti,0.099,139,Middle East
Dominica,0.01,162,North America
Dominican Republic,0.162,121,North America
Ecuador,0.466,65,South America
Egypt,0.772,14,Middle East
El Salvador,0.208,107,North America
Equatorial Guinea,0,164,Africa
Eritrea,0.076,146,Africa
Estonia,0.846,5,Europe
Ethiopia,0.267,98,Africa
Fiji,0.222,105,Asia
Finland,0.741,16,Europe
France,0.819,8,Europe
Gabon,0.139,127,Africa
Gambia,0.136,129,Africa
Georgia,0.819,8,Former USSR
Germany,0.679,24,Europe
Ghana,0.326,86,Africa
Greece,0.475,63,Europe
Grenada,0.115,136,South America
Guatemala,0.114,137,North America
Guinea,0.09,143,Africa
Guinea-Bissau,0.034,161,Africa
Guyana,0.269,97,South America
Haiti,0.04,160,North America
Honduras,0.048,156,North America
Hungary,0.534,51,Europe
Iceland,0.384,77,Europe
India,0.683,23,Asia
Indonesia,0.424,69,Asia
Iran,0.494,59,Asia
Iraq,0.043,158,Middle East
Ireland,0.675,26,Europe
Israel,0.691,20,Middle East
Italy,0.626,31,Europe
Jamaica,0.339,84,North America
Japan,0.786,11,Asia
Jordan,0.277,92,Middle East
Kazakhstan,0.352,82,Former USSR
Kenya,0.574,45,Africa
Kiribati,0.123,132,Asia
Kuwait,0.104,138,Middle East
Kyrgyzstan,0.27,96,Former USSR
Lao,0.392,76,Asia
Latvia,0.688,21,Europe
Lebanon,0.172,118,Middle East
Lesotho,0.094,142,Africa
Liberia,0.149,123,Africa
Libya,0.224,104,Middle East
Liechtenstein,0.194,111,Europe
Lithuania,0.504,56,Europe
Luxembourg,0.602,36,Europe
Madagascar,0.168,120,Africa
Malawi,0.084,144,Africa
Malaysia,0.893,3,Asia
Maldives,0.056,154,Asia
Mali,0.06,151,Africa
Malta,0.399,75,Europe
Marshall Islands,0.048,156,Asia
Mauritania,0.146,124,Middle East
Mauritius,0.83,6,Africa
